Date,People
2020-01-10 23:00,16
2020-01-11 0:00,16
2020-01-11 1:00,8
2020-01-11 2:00,7
2020-01-11 3:00,14
2020-01-11 4:00,14
2020-01-11 5:00,11
2020-01-11 6:00,9
2020-01-11 7:00,5
2020-01-11 8:00,40
2020-01-11 9:00,5
2020-01-11 10:00,9
2020-01-11 11:00,12
2020-01-11 12:00,5
2020-01-11 13:00,12
2020-01-11 14:00,35
2020-01-11 15:00,13
2020-01-11 16:00,17
2020-01-11 17:00,8
2020-01-11 18:00,5
2020-01-11 19:00,12
2020-01-11 20:00,49
2020-01-11 21:00,15
2020-01-11 22:00,14
2020-01-11 23:00,9
2020-01-12 0:00,9
2020-01-12 1:00,17
2020-01-12 2:00,15
2020-01-12 3:00,9
2020-01-12 4:00,15
2020-01-12 5:00,17
2020-01-12 6:00,17
2020-01-12 7:00,5
2020-01-12 8:00,32
2020-01-12 9:00,20
2020-01-12 10:00,8
2020-01-12 11:00,13
2020-01-12 12:00,18
2020-01-12 13:00,5
2020-01-12 14:00,32
2020-01-12 15:00,12
2020-01-12 16:00,7
2020-01-12 17:00,5
2020-01-12 18:00,14
2020-01-12 19:00,15
2020-01-12 20:00,50
2020-01-12 21:00,11
2020-01-12 22:00,17
2020-01-12 23:00,12
2020-01-13 0:00,7
2020-01-13 1:00,11
2020-01-13 2:00,15
2020-01-13 3:00,15
2020-01-13 4:00,16
2020-01-13 5:00,8
2020-01-13 6:00,8
2020-01-13 7:00,15
2020-01-13 8:00,35
2020-01-13 9:00,12
2020-01-13 10:00,8
2020-01-13 11:00,12
2020-01-13 12:00,17
2020-01-13 13:00,13
2020-01-13 14:00,37
2020-01-13 15:00,11
2020-01-13 16:00,17
2020-01-13 17:00,11
2020-01-13 18:00,12
2020-01-13 19:00,18
2020-01-13 20:00,44
2020-01-13 21:00,16
2020-01-13 22:00,12
2020-01-13 23:00,13
2020-01-14 0:00,19
2020-01-14 1:00,16
2020-01-14 2:00,6
2020-01-14 3:00,18
2020-01-14 4:00,20
2020-01-14 5:00,6
2020-01-14 6:00,19
2020-01-14 7:00,5
2020-01-14 8:00,40
2020-01-14 9:00,13
2020-01-14 10:00,16
2020-01-14 11:00,15
2020-01-14 12:00,13
2020-01-14 13:00,20
2020-01-14 14:00,31
2020-01-14 15:00,17
2020-01-14 16:00,7
2020-01-14 17:00,5
2020-01-14 18:00,11
2020-01-14 19:00,13
2020-01-14 20:00,48
2020-01-14 21:00,8
2020-01-14 22:00,16
2020-01-14 23:00,6
2020-01-15 0:00,14
2020-01-15 1:00,9
2020-01-15 2:00,16
2020-01-15 3:00,10
2020-01-15 4:00,5
2020-01-15 5:00,11
2020-01-15 6:00,20
2020-01-15 7:00,16
2020-01-15 8:00,37
2020-01-15 9:00,6
2020-01-15 10:00,7
2020-01-15 11:00,20
2020-01-15 12:00,6
2020-01-15 13:00,8
2020-01-15 14:00,35
2020-01-15 15:00,15
2020-01-15 16:00,9
2020-01-15 17:00,15
2020-01-15 18:00,11
2020-01-15 19:00,16
2020-01-15 20:00,42
2020-01-15 21:00,12
2020-01-15 22:00,10
2020-01-15 23:00,15
2020-01-16 0:00,16
2020-01-16 1:00,8
2020-01-16 2:00,15
2020-01-16 3:00,10
2020-01-16 4:00,12
2020-01-16 5:00,7
2020-01-16 6:00,10
2020-01-16 7:00,6
2020-01-16 8:00,33
2020-01-16 9:00,15
2020-01-16 10:00,20
2020-01-16 11:00,7
2020-01-16 12:00,18
2020-01-16 13:00,19
2020-01-16 14:00,40
2020-01-16 15:00,14
2020-01-16 16:00,17
2020-01-16 17:00,13
2020-01-16 18:00,19
2020-01-16 19:00,17
2020-01-16 20:00,42
2020-01-16 21:00,18
2020-01-16 22:00,8
2020-01-16 23:00,17
2020-01-17 0:00,18
2020-01-17 1:00,19
2020-01-17 2:00,17
2020-01-17 3:00,8
2020-01-17 4:00,20
2020-01-17 5:00,8
2020-01-17 6:00,17
2020-01-17 7:00,17
2020-01-17 8:00,37
2020-01-17 9:00,7
2020-01-17 10:00,11
2020-01-17 11:00,11
2020-01-17 12:00,16
2020-01-17 13:00,12
2020-01-17 14:00,34
2020-01-17 15:00,8
2020-01-17 16:00,7
2020-01-17 17:00,17
2020-01-17 18:00,20
2020-01-17 19:00,5
2020-01-17 20:00,45
2020-01-17 21:00,20
2020-01-17 22:00,11
2020-01-17 23:00,16
